Customer ID,Recence,Frequence,Montant,Recence_log,Frequence_log,Montant_log,score_R,score_F,score_M,score_RFM,segment_baseline,cluster,axe1,axe2,engagement,nom_segment
12346.0,326,3,77352.96,5.7899601708972535,1.3862943611198906,11.25614705055371,2,2,4,8,Clients réguliers,0,1.3896577000795447,2.014295798165213,2.1614194692858275,Clients à risque
12347.0,2,8,4921.53,1.0986122886681098,2.1972245773362196,8.501577904958904,4,4,4,12,Meilleurs clients,1,2.321091217911792,-1.1035787794578211,4.181431348029375,Champions
12348.0,75,5,1658.3999999999999,4.330733340286331,1.791759469228055,7.414211370230185,3,3,3,9,Clients réguliers,0,0.49022338454502207,0.20647606555654754,0.8173393782477751,Clients à risque
12349.0,19,3,3678.69,2.995732273553991,1.3862943611198906,8.210583788484227,4,2,4,10,Meilleurs clients,3,0.9604409958867419,-0.44150216714335627,1.7489948420574661,Clients réguliers
12350.0,310,1,294.4,5.739792912179234,0.6931471805599453,5.68833037009728,2,1,1,4,Clients à relancer,2,-1.5604203262306626,0.06316159091630912,-2.697298635147199,Clients endormis
12351.0,375,1,300.93,5.929589143389895,0.6931471805599453,5.710195202428391,2,1,1,4,Clients à relancer,2,-1.6122226062162708,0.1745384761795479,-2.8032812852716154,Clients endormis
12352.0,36,9,1729.54,3.6109179126442243,2.302585092994046,7.45618877751499,3,4,3,10,Meilleurs clients,1,1.1318232202661043,0.009543666280212642,1.9422092206396782,Champions
12353.0,204,2,406.76,5.3230099791384085,1.0986122886681098,6.010678766031786,2,2,2,6,Clients occasionnels,2,-0.974654918321461,0.0788162043021053,-1.6943051677095344,Clients endormis
12354.0,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461,2,1,3,6,Clients occasionnels,2,-0.8995974804218194,0.2922221290836568,-1.572733717952556,Clients endormis
12355.0,214,2,947.61,5.3706380281276624,1.0986122886681098,6.854997755239065,2,2,3,7,Clients réguliers,0,-0.6205851827329725,0.35810106744031905,-1.1133413378926902,Clients à risque
12356.0,23,6,5611.73,3.1780538303479458,1.9459101490553132,8.632792511166311,4,3,4,11,Meilleurs clients,1,1.5140197987082074,-0.008290775985437765,2.630641459029537,Champions
12357.0,33,2,17437.66,3.5263605246161616,1.0986122886681098,9.766444859648637,3,2,4,9,Clients réguliers,0,1.2497943401868679,0.21183944394020154,2.1791311479021704,Clients à risque
12358.0,2,5,3447.07,1.0986122886681098,1.791759469228055,8.145569933201639,4,3,4,11,Meilleurs clients,1,1.8553624595721867,-1.3595104315483153,3.4215672681795386,Champions
12359.0,58,10,8873.39,4.07753744390572,2.3978952727983707,9.090924879587071,3,4,4,11,Meilleurs clients,1,1.7691518342934314,0.7921555334902193,2.944744042492781,Champions
12360.0,52,6,3612.89,3.970291913552122,1.9459101490553132,8.192540033500242,3,3,4,10,Meilleurs clients,0,1.065198706772269,0.2973562500548307,1.8032785052201126,Clients à risque
12361.0,287,4,451.25,5.662960480135946,1.6094379124341003,6.114235124275405,2,3,2,7,Clients réguliers,0,-0.6487816053323613,0.485649651681392,-1.2050363600731697,Clients à risque
12362.0,3,10,4737.23,1.3862943611198906,2.3978952727983707,8.463418927229844,4,4,4,12,Meilleurs clients,1,2.364766135694963,-0.882251369286347,4.217599062582814,Champions
12363.0,110,2,552.0,4.709530201312334,1.0986122886681098,6.315358001522335,2,2,2,6,Clients occasionnels,2,-0.6429612042831863,-0.1687227310861082,-1.0798714019414912,Clients endormis
12364.0,8,4,1208.1,2.1972245773362196,1.6094379124341003,7.097631560180201,4,3,3,10,Meilleurs clients,3,0.9021869974742638,-1.1338467553210498,1.7316843503260295,Clients réguliers
12365.0,291,1,320.69,5.676753802268282,0.6931471805599453,5.773588348900164,2,1,1,4,Clients à relancer,2,-1.50272825032869,0.053890178968739405,-2.59508581924585,Clients endormis
